,predicted_scores,similarity_scores
rxn21651_c,0.999933432,0.7324680902768703
rxn21636_c,0.999933432,0.7324680902768703
rxn37383_c,0.999933296,0.8198859943580203
rxn04724_c,0.999933088,0.8040252381443753
rxn01209_c,0.9999328999999999,0.8451479775642774
rxn36934_c,0.9999327920000001,0.7878191753281284
rxn12881_c,0.999932626,0.9244974513473897
rxn10583_c,0.9999323419999999,0.7473941323621035
rxn11676_c,0.999932154,0.632471972901711
rxn18355_c,0.9999320599999999,0.8451479775642774
rxn18908_c,0.9999320599999999,0.8451479775642774
rxn10114_c,0.9999318479999999,0.8775249775369303
rxn16659_c,0.9999317,0.7765880855922473
rxn00595_c,0.9999316979999999,0.7759314897884744
rxn15081_c,0.999931694,0.7999896017469084
rxn04953_c,0.999931604,0.7324680902768702
rxn00914_c,0.99993131,0.6708015015407104
rxn08021_c,0.999931046,0.7327229020353131
rxn20837_c,0.999931026,0.6761095939888514
rxn30308_c,0.9999307399999999,0.5656560136747122
rxn05176_c,0.99993047,0.8451479775642774
rxn00018_c,0.999930404,0.7462043977626674
rxn04748_c,0.9999303879999999,0.7706684780507518
rxn20843_c,0.9999303879999999,0.7706684780507517
rxn05938_c,0.99993008,0.5625526870355331
rxn01863_c,0.9999300339999999,0.7706684780507517
rxn05165_c,0.9999300200000001,0.8451479775642774
rxn38843_c,0.999929738,0.5476893335771491
rxn00069_c,0.999929724,0.7777713592513442
rxn08441_c,0.999929702,0.6324308699302449
rxn05235_c,0.9999296440000001,0.6761095939888497
rxn09927_c,0.9999294799999999,0.7126841468212743
rxn00247_c,0.999929298,0.5999792034938161
rxn29995_c,0.99992917,0.4743026002941122
rxn13394_c,0.9999290719999999,0.6761095939888514
rxn05059_c,0.999929038,0.7106591644089598
rxn05154_c,0.9999290000000002,0.8451479775642774
rxn01826_c,0.9999288819999999,0.7378711808773225
rxn30302_c,0.9999288200000003,0.7559211482160539
rxn00280_c,0.9999288200000003,0.7559211482160538
rxn38844_c,0.99992877,0.5476893335771478
rxn05147_c,0.99992868,0.8451479775642774
rxn08067_c,0.99992853,0.6761095939888515
rxn00156_c,0.999928472,0.5714126559714825
rxn04137_c,0.9999282880000001,0.7171202984927929
rxn08443_c,0.9999281159999999,0.7499675029247438
rxn10434_c,0.999927684,0.599979203493817
rxn10901_c,0.9999276399999999,0.6499365964942582
rxn10158_c,0.9999276399999999,0.8944271909999159
rxn10152_c,0.9999276399999999,0.9486832980505138
rxn04000_c,0.9999276179999999,0.8630238854984383
rxn23604_c,0.9999273599999998,0.7378711808773225
rxn23606_c,0.9999273599999998,0.7378711808773225
rxn23607_c,0.9999273599999998,0.7378711808773225
rxn23608_c,0.9999273599999998,0.7378711808773225
rxn00325_c,0.9999272080000001,0.6804236436904834
rxn03882_c,0.99992711,0.7427737698717383
rxn05156_c,0.999926922,0.8451479775642774
rxn07217_c,0.9999268560000001,0.9918574014485774
rxn00744_c,0.999926552,0.6708015015407103
rxn00375_c,0.9999264999999999,0.5000072207900979
rxn00351_c,0.999926462,0.7142751039809884
rxn16459_c,0.9999263280000001,0.7303157276193935
rxn14080_c,0.9999263280000001,0.7303157276193935
rxn11530_c,0.9999263280000001,0.7303157276193935
rxn23646_c,0.9999263280000001,0.7303157276193932
rxn16736_c,0.9999263280000001,0.7303157276193935
rxn16002_c,0.9999263280000001,0.7303157276193935
rxn14233_c,0.9999263280000001,0.7303157276193935
rxn11885_c,0.9999263280000001,0.7303157276193935
rxn07462_c,0.9999263280000001,0.7303157276193935
rxn16729_c,0.9999263280000001,0.7303157276193935
rxn00306_c,0.999926228,0.6666666666666667
rxn14127_c,0.9999261519999999,0.8169848059002458
rxn06655_c,0.9999261519999999,0.8442309731398665
rxn14161_c,0.9999261519999999,0.816984805900246
rxn13986_c,0.9999261519999999,0.8169848059002458
rxn13984_c,0.9999261519999999,0.8169848059002462
rxn14237_c,0.9999261519999999,0.816984805900246
rxn14285_c,0.9999261519999999,0.8169848059002462
rxn14305_c,0.9999261519999999,0.8169848059002462
rxn11673_c,0.9999261519999999,0.7968213743150887
rxn23546_c,0.9999261519999999,0.7111887749987416
rxn36935_c,0.999926122,0.7878191753281284
rxn30524_c,0.9999258839999999,0.8705941308948493
rxn00125_c,0.9999257119999999,0.7559205253512347
rxn11733_c,0.99992561,0.6708087700678416
rxn05232_c,0.9999254220000001,0.6761095939888503
rxn25932_c,0.999925262,0.7706684780507517
rxn25934_c,0.999925262,0.7706684780507517
rxn00537_c,0.999925112,0.7473941323621035
rxn01491_c,0.999924794,0.75
rxn00396_c,0.999924744,0.6708015015407103
rxn01971_c,0.999924682,0.6761095939888514
rxn30765_c,0.99992468,0.7999896017469084
rxn00485_c,0.99992456,0.8078174014186407
rxn00244_c,0.9999244700000001,0.5999792034938167
rxn10768_c,0.9999243480000001,0.6324308699302441
rxn00201_c,0.9999240979999999,0.5669572365014734
rxn00200_c,0.9999240979999999,0.5669572365014737
rxn10761_c,0.999923768,0.7324680902768703
rxn12216_c,0.99992362,0.8864007716522708
rxn12661_c,0.999923398,0.6928023127249107
rxn09926_c,0.999923352,0.7143547424109798
rxn23854_c,0.999923106,0.5070712104134254
rxn18579_c,0.999922994,0.8451479775642774
rxn00419_c,0.9999229279999999,0.6761095939888513
rxn09433_c,0.999922514,0.9534345258290797
rxn01189_c,0.9999224919999999,0.857137551990494
rxn30246_c,0.999922192,0.75
rxn15030_c,0.9999221,0.5669572365014737
rxn15095_c,0.999921928,0.5669572365014737
rxn09517_c,0.9999218559999999,0.7878191753281284
rxn15102_c,0.9999215979999999,0.6324555320336759
rxn00674_c,0.999921456,0.732722902035313
rxn30478_c,0.99992126,0.9933258402522619
rxn33878_c,0.9999211779999999,0.5714431045394575
rxn03906_c,0.999921136,0.8040252381443751
rxn04745_c,0.9999211179999999,0.8040252381443753
rxn00480_c,0.9999210599999999,0.6556145529196522
rxn00880_c,0.999920792,0.599979203493817
rxn09516_c,0.999920524,0.7473941323621035
rxn00572_c,0.9999204260000001,0.7911570903508212
rxn00489_c,0.999920414,0.5773402637260195
rxn21647_c,0.9999203779999999,0.717125625232295
rxn19918_c,0.9999203680000001,0.6859523774786884
rxn09336_c,0.99991988,0.7473941323621037
rxn02218_c,0.9999197479999999,0.6135879410627166
rxn00405_c,0.9999194599999999,0.6859943405700353
rxn05093_c,0.999919354,0.677771236917265
rxn30315_c,0.9999192600000001,0.9307600704203471
rxn20834_c,0.9999192600000001,0.85282302606691
rxn01035_c,0.999919044,0.7327229020353129
rxn00971_c,0.999918944,0.7142751039809884
rxn00920_c,0.9999186520000001,0.6396172641463892
rxn20235_c,0.9999184720000001,0.5000072207900979
rxn00774_c,0.999918378,0.7559184188597892
rxn04666_c,0.9999183700000002,0.7324680902768703
rxn00254_c,0.999918302,0.5
rxn06556_c,0.9999182019999999,0.6324308699302441
rxn33085_c,0.9999180280000001,0.7911570903508212
rxn00835_c,0.999918028,0.6708015015407104
rxn15103_c,0.999917702,0.6324555320336759
rxn00943_c,0.999917656,0.6324308699302449
rxn21591_c,0.9999176399999999,0.6030298143460754
rxn34002_c,0.999917604,0.8393538851135589
rxn18584_c,0.999917522,0.8451479775642774
rxn23244_c,0.99991743,0.8844823347978692
